flow,power,pressure,head,duration,std_flow,std_power,source_file
0.0,5.7,16.26,165.8,169,0.0,1.379,20260113_161220.csv
0.0,5.52,16.07,163.8,191,0.0,0.1,20260120_092739.csv
0.0,5.43,16.17,164.8,323,0.0,0.038,20260120_100000.csv
0.0,5.78,15.98,162.9,15,0.0,4.409,20260120_103002.csv
0.0,5.39,16.21,165.3,187,0.0,0.035,20260120_110550.csv
5.0,7.41,16.07,163.8,421,0.059,0.029,20260113_161716.csv
5.86,7.89,16.1,164.2,302,0.019,0.034,20260120_092739.csv
6.55,8.07,16.07,163.8,296,0.024,0.022,20260120_110550.csv
6.66,8.21,16.0,163.2,141,0.055,0.014,20260113_171025.csv
6.91,8.31,16.05,163.7,303,0.02,0.02,20260120_100000.csv
11.04,10.23,15.72,160.3,14,0.087,0.009,20260113_162517.csv
11.15,10.2,15.71,160.2,294,0.044,0.018,20260113_162517.csv
11.61,10.39,15.62,159.2,278,0.041,0.018,20260113_170516.csv
11.64,10.47,15.67,159.8,362,0.026,0.025,20260120_103002.csv
12.19,10.67,15.61,159.1,211,0.02,0.022,20260120_100000.csv
12.21,10.68,15.6,159.1,60,0.041,0.019,20260120_100000.csv
12.37,10.67,15.58,158.9,293,0.022,0.022,20260120_110550.csv
14.38,11.4,15.26,155.6,141,0.04,0.025,20260113_163157.csv
14.64,11.43,15.12,154.1,207,0.034,0.021,20260113_171412.csv
14.94,11.66,15.17,154.7,291,0.028,0.025,20260120_092739.csv
15.19,11.66,15.1,153.9,66,0.058,0.023,20260113_163157.csv
15.23,11.64,15.05,153.5,78,0.032,0.023,20260113_163157.csv
16.21,11.92,14.71,150.0,141,0.035,0.022,20260113_170224.csv
16.23,11.98,14.81,151.0,285,0.023,0.025,20260120_100000.csv
18.1,12.54,14.31,145.9,99,0.047,0.021,20260113_163719.csv
18.14,12.55,14.3,145.8,175,0.039,0.024,20260113_163719.csv
19.33,12.79,13.93,142.0,253,0.029,0.027,20260120_103002.csv
19.58,12.79,13.82,140.9,238,0.022,0.027,20260120_110550.csv
19.7,12.81,13.81,140.8,10,0.091,0.014,20260120_110550.csv
19.8,12.9,13.79,140.6,361,0.026,0.026,20260120_100000.csv
19.83,12.84,13.75,140.2,58,0.046,0.024,20260113_165849.csv
19.86,12.82,13.72,139.9,130,0.027,0.023,20260113_170000.csv
19.89,12.9,13.79,140.6,11,0.069,0.023,20260120_100000.csv
20.23,13.03,13.67,139.3,289,0.023,0.03,20260120_092739.csv
21.23,13.24,13.25,135.1,80,0.052,0.023,20260113_164220.csv
21.28,13.21,13.22,134.8,187,0.052,0.022,20260113_164220.csv
22.4,13.37,12.8,130.6,274,0.041,0.027,20260113_165344.csv
22.7,13.42,12.68,129.3,62,0.034,0.027,20260120_100000.csv
22.71,13.42,12.68,129.3,224,0.028,0.03,20260120_095552.csv
22.77,13.46,12.65,129.0,282,0.023,0.026,20260120_092739.csv
24.02,13.64,12.01,122.5,167,0.042,0.025,20260113_164726.csv
24.03,13.61,12.01,122.5,151,0.041,0.024,20260113_164726.csv
24.25,13.58,11.89,121.3,350,0.024,0.028,20260120_103002.csv
24.82,13.57,11.6,118.3,266,0.043,0.024,20260113_171819.csv
